le mari,el marido
les bottes,las botas
la ceinture ,el cinturón
La cravate,La córdoba
La robe,El vestido
Le pantalon ,El pantalón 
La jupe ,La falda
La chaussure,El zapato 
La chemise,La camisa
Le costume,El traje 
Le chapeau,El sombrero
Le manto,El abrigo
Les lunettes,Las gafas
Le singe,El mono
Le lion,El leon
La souris,El raton
Un moment ,Un rato
Un moment,Un momento 
Un bébé ,Un bebe
La boucherie,La carniceria
La boulangerie ,La panaderia
Le crabe,El cangrejo
Le dejeuner,El almuerzo
Le dîner ,La cena
Le sandwich,El emparedado
Des legumes,Verdura
Le sucre,El azúcar 
Payer,Pagar
Sur,Sobre
Sous,Bajo
Près ,Cerca
Devant,Delante
Derrière ,Detras
Entre,Entre
Parmi,Entre
À l'intérieur ,Dentro
À l'extérieur ,Fuera
Contre,Contra
Le jour,El día 
Lundi,Lunes
Mardi,Martes
Mercredi,Miercoles
Jeudi,Jueves 
Vendredi,Viernes
Samedi,Sábado
Dimanche,Domingo 
Quel,Cuál 
Qui,Quién 
Quand,Cuándo 
Combien,Cuánto 
Comment,Cómo 
Depuis,Desde
A propos,Acerca
Pendant,Durante
D'après ,Según 
Vers,Hacia
Jusqu'à ,Hasta
Marcher,Caminar
Le mois,El mes
Janvier,Enero
Février ,Febrero
Mars,Marzo 
Avril,Abril 
Mai,Mayo 
Juin,Junio
Juillet,Julio
Août ,Agosto
Septembre,Sieptembre
Octobre,Octubre
Novembre,Noviembre
Decembre,Diciembre
La femme,La mujer
Le petit ami,El novio 
La petite amie,La novia
Hier,Ayer
Aujourd'hui ,Hoy
Demain,Mañana 
Après-demain ,Pasado mañana 
Avant-hier ,Anteayer 
Hier soir,Anotche
La saison,La temporada 
L'aube,La madrugada
Parfois,A veces
La fois,La vez
Les fois,Las veces
L'année ,El año 
La journée ,El día 
L'heure,La hora
La minute,El minuto
La seconde,La segundo
L'instant,El instante
La date,La fetcha
L'anniversaire ,El compleano 
L'anniversaire ,El aniversario 
La date de naissance,La fecha de nacimiento 
Le pull,El sueter
L'oncle,El tío 
La tante,La tía 
Les vacances,Los vacaciones
Le père ,El padre
La mère ,La madre 
La grand mère ,La abuela
Le grand père ,El abuelo
L'homme,El hombre
