Le mois,El mes
Janvier,Enero
Février ,Febrero
Mars,Marzo 
Avril,Abril 
Mai,Mayo 
Juin,Junio
Juillet,Julio
Août ,Agosto
Septembre,Sieptembre
Octobre,Octubre
Novembre,Noviembre
Decembre,Diciembre
Hier,Ayer
Aujourd'hui ,Hoy
Demain,Mañana 
Après-demain ,Pasado mañana 
Avant-hier ,Anteayer 
Hier soir,Anotche
La saison,La temporada 
L'aube,La madrugada
Parfois,A veces
La fois,La vez
Les fois,Las veces
L'année ,El año 
La journée ,El día 
L'heure,La hora
La minute,El minuto
La seconde,La segundo
L'instant,El instante
La date,La fetcha
L'anniversaire ,El compleano 
L'anniversaire ,El aniversario 
La date de naissance,La fecha de nacimiento 
Un moment ,Un rato
Un moment,Un momento 
Le jour,El día 
Lundi,Lunes
Mardi,Martes
Mercredi,Miercoles
Jeudi,Jueves 
Vendredi,Viernes
Samedi,Sábado
Dimanche,Domingo 
